loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120266541-04396,Paid as agreed,7,2007-04-16 Mon,55,Chk & Sv,Home Equity,"5,000.00",M,g,Owns Home,220,15,0,726,2,,42,0,88,124,10,11,93.9,6.1,New,28.341,1
AL120266648-05669,Paid as agreed,7,2007-06-04 Mon,36,Checking,Unknown,"2,500.00",LT,r,Renting,177,1,3,551,0,14,1,,0,27,2,,100,0,Used,28.341,1
AL120266708-06618,Charged-off,3,2006-07-23 Sun,36,Chk & Sv,National,"2,400.00",SI,b,Owns Home,193,0,0,620,19,1,7,0,91,144,12,41,95.3,4.7,New,3.584,0
AL120266749-07628,Delq 3+ cycles,4,2007-02-16 Fri,36,Chk & Sv,Home Equity,"3,600.00",M,f,Owns Home,191,5,1,626,17,6,40,0,93,91,7,84,93.6,6.4,New,1.007,0
AL120266822-04949,Paid as agreed,7,2006-12-07 Thu,19,Chk & Sv,National,"1,200.00",M,e,Renting,155,0,0,,1,7,,1,,1,0,,95,5,New,28.341,1
AL120266830-08926,Delq 3+ cycles,4,2006-11-08 Wed,40,Checking,Home Equity,"2,906.00",SI,g,Renting,208,0,8,654,7,23,21,0,43,157,13,33,92.6,7.4,Used,2.455,0
AL120266892-05117,Paid as agreed,7,2007-04-02 Mon,38,Chk & Sv,Home Equity,"1,624.00",WD,f,Owns Home,215,3,0,659,10,20,52,1,89,206,17,101,93.9,6.1,New,45.478,1
AL120267097-07825,Charged-off,3,2007-02-25 Sun,57,Chk & Sv,National,"3,000.00",M,y,Owns Home,205,21,2,665,4,81,24,0,63,105,8,0,89.8,10.2,New,1.548,0
AL120267218-06909,Delq 3+ cycles,4,2007-01-13 Sat,22,Checking,Unsecured,"12,116.00",M,,Renting,171,0,0,570,3,8,,0,67,39,3,113,83.8,16.2,New,1.007,0
AL120267272-08009,Delq 3+ cycles,4,2006-11-20 Mon,24,Checking,National,"1,950.00",DI,g,Parents,174,12,1,561,10,60,1,1,40,73,6,100,99.5,0.5,Used,1.18,0
